courseKey,division,courseCode,courseTitle,capacity,beginTime,endTime,days,faculty
505,UG,SSC2310,Development Policy,30,1:40 PM,2:30 PM,MWF,"SHOUP, John Austin"
506,UG,SSC2315,"Sex, Gender and Power",30,5:10 PM,6:30 PM,MW,"GRAY, Doris"
507,UG,SSC2330,International Field Seminar (China),10,5:10 PM,6:30 PM,MW,"EL BERNOUSSI, Zaynab"
508,UG,SSC2342,Anthropology of Development,30,11:00 AM,11:50 AM,MWF,"SHOUP, John Austin"
509,UG,SSC2371,Ethnography in Africa,20,10:00 AM,10:50 AM,MWF,"SHOUP, John Austin"
510,UG,SSC2401,Social Statistics,30,9:30 AM,10:50 AM,TR,
511,UG,SSC2401L,Social Statistics Lab,30,2:00 PM,3:50 PM,W,
512,UG,SSC3303,Research Methods,30,11:00 AM,12:20 PM,TR,"LOUSTAU WILLIAMS, FrancesDaniell"
513,UG,SSC3316,"Gender, Politcs & Society",30,5:00 PM,6:20 PM,TR,"GRAY, Doris"
514,UG,SSC3372,The Political Economy of Developmen,30,3:30 PM,4:50 PM,TR,"LOUSTAU WILLIAMS, FrancesDaniell"
515,UG,SSC3398,Sp.Topics in Gender Studies,30,6:30 PM,7:50 PM,TR,"GRAY, Doris"
516,UG,SSC4000,Senior Capstone I for IS,15,3:40 PM,5:00 PM,MW,"ROSS, Eric Stanley"
517,UG,SSC4000,Senior Capstone I for COM,15,3:40 PM,5:00 PM,MW,"HOUKI, Naziha"
518,UG,SSC4000,Senior Capstone I for HRD,15,3:30 PM,4:50 PM,TR,"MOUSTAGHFIR, Karim"
519,UG,SSC4303,Senior Capstone II for IS,15,,,,"ROSS, Eric Stanley"
520,UG,SSC4303,Senior Capstone II for IS,15,3:40 PM,5:00 PM,MW,"ROSS, Eric Stanley"
521,UG,SSC4303HC,Senior Capstone II,10,3:40 PM,5:00 PM,MW,"ROSS, Eric Stanley"
522,UG,SSC4303,Senior Capstone II for COM,15,3:40 PM,5:00 PM,MW,"HOUKI, Naziha"
523,UG,SSC4303HC,Senior Capstone II,10,3:40 PM,5:00 PM,MW,"HOUKI, Naziha"
524,UG,SSC4303,Senior Capstone II for HRD,15,3:30 PM,4:50 PM,TR,"MOUSTAGHFIR, Karim"
525,UG,"SSC4303-03HC",Senior Capstone II,10,3:30 PM,4:50 PM,TR,"MOUSTAGHFIR, Karim"
526,GR,SSC5401,Social Statistics,5,9:30 AM,10:50 AM,TR,
527,GR,SSC5401L,Social Statistics,5,2:00 PM,3:50 PM,W,
528,UG,TMZ1301,Beginning Tamazight I,17,11:00 AM,12:20 PM,TR,"KHEJJOU, Ali"
